v 11 1602 30 1621 0
e 32 1602 49 1622 0
a 96 1602 114 1622 0
n 114 1602 135 1622 0
g 136 1593 155 1622 0
a 290 1602 308 1622 0
t 308 1602 320 1627 0
d 332 1602 352 1631 0
o 353 1602 371 1622 0
e 373 1602 390 1622 0
s 393 1602 406 1622 0
S 421 1602 439 1631 0
h 441 1602 462 1631 0
e 463 1602 480 1622 0
r 481 1602 495 1622 0
e 496 1602 513 1622 0
n 625 1602 646 1622 0
e 646 1602 663 1622 0
e 665 1602 682 1622 0
d 684 1602 704 1631 0
M 69 1543 104 1571 0
y 106 1534 127 1562 0
q 139 1534 159 1563 0
u 159 1543 180 1562 0
a 181 1543 199 1563 0
y 228 1534 249 1562 0
A 267 1543 297 1572 0
m 306 1543 339 1563 0
a 340 1543 358 1563 0
n 358 1543 379 1563 0
s 389 1543 402 1563 0
c 416 1543 432 1563 0
u 434 1543 455 1562 0
b 455 1543 474 1572 0
w 488 1543 518 1562 0
e 518 1543 535 1563 0
n 536 1543 557 1563 0
t 556 1543 568 1568 0
t 581 1543 593 1568 0
h 593 1543 614 1572 0
i 615 1543 625 1572 0
s 629 1543 642 1563 0
w 655 1543 685 1562 0
a 685 1543 703 1563 0
y 703 1534 724 1562 0
s 763 1543 776 1563 0
a 778 1543 796 1563 0
i 797 1543 807 1572 0
d 809 1543 829 1572 0
S 844 1543 862 1572 0
h 864 1543 885 1572 0
e 886 1543 903 1563 0
r 904 1543 918 1563 0
e 919 1543 936 1563 0
a 1000 1543 1018 1563 0
n 1018 1543 1039 1563 0
I 1078 1543 1090 1571 0
t 1092 1543 1104 1568 0
s 1106 1543 1119 1563 0
p 1133 1534 1152 1563 0
e 1188 1543 1205 1563 0
n 1206 1543 1227 1563 0
t 1227 1543 1239 1568 0
s 1241 1543 1254 1563 0
h 11 1495 31 1524 0
a 32 1495 50 1515 0
v 50 1495 70 1514 0
e 71 1495 88 1515 0
n 135 1495 156 1515 0
o 167 1495 185 1515 0
f 189 1495 205 1524 0
f 204 1495 220 1524 0
G 238 1495 267 1524 0
i 267 1495 277 1524 0
v 279 1495 299 1514 0
e 301 1495 318 1515 0
i 330 1495 340 1524 0
t 341 1495 353 1520 0
t 364 1495 376 1520 0
o 378 1495 396 1515 0
m 408 1495 441 1515 0
e 442 1495 459 1515 0
S 55 1437 73 1466 0
h 75 1437 96 1466 0
e 96 1437 113 1457 0
r 114 1437 128 1457 0
e 130 1437 147 1457 0
a 209 1437 227 1457 0
n 227 1437 248 1457 0
h 259 1437 280 1466 0
a 281 1437 299 1457 0
d 300 1437 320 1466 0
j 327 1428 338 1466 0
u 343 1437 364 1456 0
m 364 1437 397 1457 0
p 397 1428 416 1457 0
e 419 1437 436 1457 0
d 438 1437 458 1466 0
a 469 1437 487 1457 0
t 487 1437 499 1462 0
a 512 1437 530 1457 0
w 540 1437 570 1456 0
o 570 1437 588 1457 0
o 591 1437 609 1457 0
d 612 1437 632 1466 0
c 633 1437 649 1457 0
u 651 1437 672 1456 0
t 672 1437 684 1462 0
t 684 1437 696 1462 0
e 698 1437 715 1457 0
r 715 1437 729 1457 0
s 740 1437 753 1457 0
c 767 1437 783 1457 0
a 786 1437 804 1457 0
m 803 1437 836 1457 0
p 837 1428 856 1457 0
r 885 1437 899 1457 0
e 900 1437 917 1457 0
a 940 1437 958 1457 0
s 960 1437 973 1457 0
F 987 1437 1008 1465 0
a 1010 1437 1028 1457 0
t 1027 1437 1039 1462 0
h 1040 1437 1061 1466 0
e 1062 1437 1079 1457 0
r 1080 1437 1094 1457 0
W 1105 1436 1144 1465 0
o 1142 1437 1160 1457 0
l 1162 1437 1172 1466 0
f 1176 1437 1192 1466 0
h 1200 1437 1221 1466 0
a 1221 1437 1239 1457 0
d 1240 1437 1260 1466 0
s 12 1389 25 1409 0
a 28 1389 46 1409 0
i 46 1389 56 1418 0
d 59 1389 79 1418 0
d 144 1389 164 1418 0
w 178 1389 208 1408 0
a 209 1389 227 1409 0
s 228 1389 241 1409 0
f 259 1389 275 1418 0
u 272 1389 293 1408 0
r 293 1389 307 1409 0
i 308 1389 318 1418 0
o 321 1389 339 1409 0
u 341 1389 362 1408 0
s 364 1389 377 1409 0
f 395 1389 411 1418 0
r 407 1389 421 1409 0
o 423 1389 441 1409 0
m 443 1389 476 1409 0
t 490 1389 502 1414 0
h 503 1389 524 1418 0
e 525 1389 542 1409 0
p 557 1380 576 1409 0
a 579 1389 597 1409 0
i 597 1389 607 1418 0
n 609 1389 630 1409 0
o 645 1389 663 1409 0
f 667 1389 683 1418 0
h 694 1389 715 1418 0
i 716 1389 726 1418 0
s 729 1389 742 1409 0
b 758 1389 777 1418 0
u 779 1389 800 1408 0
r 800 1389 814 1409 0
n 815 1389 836 1409 0
e 837 1389 854 1409 0
d 855 1389 875 1418 0
f 892 1389 908 1418 0
e 905 1389 922 1409 0
e 924 1389 941 1409 0
t 942 1389 954 1414 0
B 980 1389 1005 1417 0
u 1006 1389 1027 1408 0
t 1027 1389 1039 1414 0
F 1055 1389 1076 1417 0
a 1078 1389 1096 1409 0
t 1095 1389 1107 1414 0
h 1108 1389 1129 1418 0
e 1130 1389 1147 1409 0
r 1148 1389 1162 1409 0
W 1177 1388 1216 1417 0
o 1213 1389 1231 1409 0
l 1234 1389 1244 1418 0
f 1247 1389 1263 1418 0
e 53 1341 70 1361 0
w 70 1341 100 1360 0
t 111 1341 123 1366 0
h 123 1341 144 1370 0
a 145 1341 163 1361 0
t 163 1341 175 1366 0
t 186 1341 198 1366 0
h 199 1341 220 1370 0
e 221 1341 238 1361 0
m 250 1341 283 1361 0
o 284 1341 302 1361 0
u 304 1341 325 1360 0
t 325 1341 337 1366 0
h 337 1341 358 1370 0
o 370 1341 388 1361 0
f 392 1341 408 1370 0
t 416 1341 428 1366 0
h 428 1341 449 1370 0
e 450 1341 467 1361 0
c 480 1341 496 1361 0
a 499 1341 517 1361 0
v 517 1341 537 1360 0
e 539 1341 556 1361 0
w 567 1341 597 1360 0
a 598 1341 616 1361 0
s 617 1341 630 1361 0
t 643 1341 655 1366 0
o 657 1341 675 1361 0
o 678 1341 696 1361 0
n 709 1341 730 1361 0
a 730 1341 748 1361 0
r 748 1341 762 1361 0
r 763 1341 777 1361 0
o 778 1341 796 1361 0
w 798 1341 828 1360 0
f 841 1341 857 1370 0
o 854 1341 872 1361 0
r 874 1341 888 1361 0
a 901 1341 919 1361 0
t 930 1341 942 1366 0
i 943 1341 953 1370 0
g 956 1332 975 1361 0
e 977 1341 994 1361 0
r 994 1341 1008 1361 0
t 1020 1341 1032 1366 0
o 1034 1341 1052 1361 0
c 1066 1341 1082 1361 0
o 1084 1341 1102 1361 0
m 1104 1341 1137 1361 0
e 1139 1341 1156 1361 0
i 1168 1341 1178 1370 0
n 1180 1341 1201 1361 0
b 1212 1341 1231 1370 0
y 1233 1332 1254 1360 0
E 11 1293 35 1321 0
v 35 1293 55 1312 0
e 57 1293 74 1313 0
n 75 1293 96 1313 0
w 109 1293 139 1312 0
h 138 1293 159 1322 0
e 160 1293 177 1313 0
r 178 1293 192 1313 0
e 193 1293 210 1313 0
h 225 1293 246 1322 0
e 247 1293 264 1313 0
w 278 1293 308 1312 0
a 308 1293 326 1313 0
s 328 1293 341 1313 0
S 370 1293 388 1322 0
h 390 1293 411 1322 0
e 412 1293 429 1313 0
r 429 1293 443 1313 0
e 445 1293 462 1313 0
s 576 1293 589 1313 0
s 607 1293 620 1313 0
h 622 1293 643 1322 0
o 643 1293 661 1313 0
u 663 1293 684 1312 0
l 685 1293 695 1322 0
d 698 1293 718 1322 0
e 718 1293 735 1313 0
r 736 1293 750 1313 0
s 753 1293 766 1313 0
a 782 1293 800 1313 0
n 800 1293 821 1313 0
d 822 1293 842 1322 0
f 857 1293 873 1322 0
o 871 1293 889 1313 0
r 891 1293 905 1313 0
e 906 1293 923 1313 0
